,Characteristics,Moderate Group (n = 36),Severe Group (n = 29),Control Group (n = 24)
0,"Age, median (IQR)",62 (44.5-69.5),72 (63.0-70.0) *,64.5 (54.5-72.5)
1,"Male, n (%)",17 (47.2),13 (44.8),10 (41.6)
2,"Female, n (%)",19 (52.8),16 (55.2),14 (58.4)
3,"Smoking status, n (%)",13 (36.1),7 (24.1),8 (33.3)
4,"Alcohol consumption, n (%)",0,1 (3.4),0
5,"BMI, median (IQR)",26.1 (22.5-29.5),29.1 (25.3-31.6),23.0 (22.0-24.5) a
6,Comorbidities,,,
7,"Hypertension, n (%)",17 (47.2),19 (65.5),13 (54.2)
8,"Diabetes, n (%)",11 (30.5),11 (37.9),8 (33.3)
9,"Heart diseases, n (%)",6 (16.6),7 (24.1),5 (20.8)
10,"Stroke, n (%)",3 (8.3),0,0
11,"Pneumocystis pneumonia, n (%)",0,2 (6.9),0
12,"Bronchial asthma, n (%)",2 (5.5),0,0
13,"Thyroid disease, n (%)",0,2 (6.9),1 (4.1)
14,"Chronic obstructive pulmonary disease, n (%)",0,4 (13.8),0
15,"Varicose veins in the lower extremities, n (%)",1 (2.7),0,1 (4.1)
16,"Epilepsy, n (%)",0,1 (3.4),0
17,"Gastrointestinal bleeding, n (%)",0,1 (3.4),0
