,Laboratory Parameters,Reference Values,Moderate Group (Median (IQR)),Severe Group (Median (IQR))
0,"WBC, × 10 9 /L",3.50-10.00,6.18 (4.96-9.25),9.04 (4.52-13.40)
1,"NEU, × 10 9 /L",1.60-7.00,3.75 (2.83-5.68),4.34 (2.43-9.94)
2,"LYM, × 10 9 /L",1.00-3.00,1.37 (0.73-2.13),0.88 (0.63-1.71)
3,NLR,0.88-4.0,3.19 (1.82-5.40),3.40 (1.86-9.98)
4,"PLT, × 10 9 /L",150-400,269.00 (221.00-339.00),246.50 (217.00-328.00)
5,"CRP, mg/L",<5,34.00 (7.20-85.00),98.50 (61.00-181.00) *
6,"PCT, ng/mL",<0.05,0.42 (0.32-0.46),0.33 (0.21-0.45)
7,"INR, s",0.85-1.2,1.34 (1.16-1.70),1.75 (1.44-2.08) *
8,"APTT, s",25-43,39.05 (36.00-42.00),40.50 (33.50-47.50)
9,"Fibrinogen, mg/dL",200-400,500.00 (442.00-549.00),500.00 (435.50-501.00)
10,"Creatinine, µ mol/L",53-115,48.00 (35.00-64.00),63.50 (40.00-93.90) *
11,"ALT, IU/L",0-38,23.50 (15.00-30.00),25.00 (17.00-54.00)
12,"AST, IU/L",0-41,21.55 (15.00-32.00),22.00 (16.00-41.00)
13,"LOS, days",-,8.00 (7.00-10.00),13.00 (6.00-20.00) *
