,Laboratory Parameters,Male.Moderate (Median (IQR)) (n = 17),Male.Severe (Median (IQR)) (n = 13),Female.Moderate (Median (IQR)) (n = 19),Female.Severe (Median (IQR)) (n = 16)
0,"Age, years",61 (19-69),71 (59-81) *,66 (54-70),73 (67-77) *
1,"BMI, kg/m 2",24.9 (22.5-26.38),27.25 (25.3-30.0) *,28.65 (22.6-34.2),29.3 (25.3-33.7)
2,"WBC, × 10 9 /L",6.19 (4.77-10.18),9.04 (4.52-10.4),6.18 (5.3-7.09),9.56 (4.76-13.4)
3,"NEU, × 10 9 /L",4.41 (2.89-8.02),4.76 (2.56-8.66),3.59 (2.83-4.61),3.91 (2.35-10.31)
4,"LYM, × 10 9 /L",1.42 (0.62-1.95),1.08 (0.6-1.62),1.37 (0.91-2.13),0.77 (0.64-1.96)
5,NLR,3.88 (1.69-8.34),4.12 (2.24-9.0),3.05 (1.81-4.75),3.37 (1.32-14.93)
6,"PLT, × 10 9 /L",257 (243-320),232 (191.0-295.5),261.50 (219-298),240.5 (233-313)
7,"CRP, mg/L",25.5 (6.4-85.0),179.14 (61.0-213.0) *,41 (9.0-87.0),87.5 (66.0-122.0)
8,"PCT, ng/mL",0.44 (0.43-0.46) a,0.44 (0.27-0.59),0.32 (0.28-0.40),0.28 (0.19-0.34)
9,"INR, s",1.3 (1.22-1.7),1.56 (1.41-2.05),1.41 (1.16-1.63),1.8 (1.47-2.12) *
10,"APTT, s",40 (36.3-42.0),42.3 (36.5-50.6),37.9 (36.0-41.9),37.9 (33.0-43.0)
11,"Fibrinogen, mg/dL",470 (419-500),500 (439-500),500 (442-556),500 (432-515)
12,"Creatinine, µ mol/L",50 (44-64),64 (60-86),40.5 (32.5-58.5),62 (35-95)
13,"ALT, IU/L",26.5 (14.9-41.5),28 (13-65),20 (15-30),22 (17-31)
14,"AST, IU/L",27.5 (18.0-32.5),30 (16-59),19 (15-25),21 (16-36)
15,"LOS, days",8.0 (7.0-9.5),11.5 (5.5-21.0),8.0 (6.0-10.0),14 (10-16) *
