,Laboratory Parameters,Age Group < 65 Years (n = 30).Moderate (Median (IQR)) (n = 20),Age Group < 65 Years (n = 30).Severe (Median (IQR)) (n = 10),Age Group ≥ 65 Years (n = 35).Moderate (Median (IQR)) (n = 16),Age Group ≥ 65 Years (n = 35).Severe (Median (IQR)) (n = 19)
0,"BMI, kg/m 2",13.89 (7.21-17.42),27.25 (25.0-30.0),27.6 (25.1-29.5),29.3 (26.44-32.0)
1,"WBC, × 10 9 /L",6.07 (4.73-9.61),10.18 (5.7-17.58),6.36 (5.16-8.92),8.33 (4.42-10.99)
2,"NEU, × 10 9 /L",3.56 (2.26-5.68),6.69 (3.03-10.51),4.13 (3.27-5.88),3.91 (2.35-9.26)
3,"LYM, × 10 9 /L",1.56 (1.14-1.76),1.62 (1.28-1.74),1.08 (0.56-2.15),0.74 (0.6-1.48)
4,NLR,2.28 (1.51-5.06),4.12 (1.31-10.11),3.38 (2.60-8.16),3.37 (2.2-9.85)
5,"PLT, × 10 9 /L",269 (237.5-310.5),251 (218.5-316.5),258 (215-310),245 (218-300)
6,"CRP, mg/L",21.5 (6.0-73.5),87.5 (50.0-179.14),41.0 (17.0-87.0),99.0 (61.0-206.0) *
7,"PCT, ng/mL",0.42 (0.36-0.45),0.27 (0.19-0.51),0.38 (0.28-0.47),0.34 (0.21-0.45)
8,"INR, s",1.41 (1.10-1.77),1.49 (1.41-2.05),1.3 (1.16-1.63),1.81 (1.46-2.09) *
9,"APTT, s",37.9 (34.8-41.9),46.6 (37.2-55.2),40.0 (36.0-44.0),38.8 (32.6-42.3)
10,"Fibrinogen, mg/dL",475.5 (392.0-500.0),432.0 (419.0-478.0),522.0 (459.0-606.0),501.0 (500.0-538.0) a
11,"Creatinine, µ mol/L",46 (37-60),63.0 (40.0-95.0),50 (35-64),64.0 (40.0-92.8)
12,"ALT, IU/L",25.0 (16.0-30.0),23.5 (12.4-50.0),18.0 (15.0-31.0),25.0 (18.0-54.0)
13,"AST, IU/L",25.0 (16.0-32.0),20.0 (15.3-34.5),20.0 (14.0-28.0),28.9 (17.0-47.0)
14,"LOS, days",7.5 (6.0-9.0),10.0 (6.0-15.0),9.0 (7.0-11.0),17.0 (14.0-35.0) * a
